"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Publisher","ISSN","ISBN","CODEN","Document Type","Publication Stage","Open Access","Source","EID"
"Alkhaffaf M.","Alkhaffaf, Maha (57194088540)","57194088540","The impact of critical success factors of enterprise resources planning system on organizational performance in islamic international Arab Bank","2017","Proceedings of the 30th International Business Information Management Association Conference, IBIMA 2017 - Vision 2020: Sustainable Economic development, Innovation Management, and Global Growth","2017-January","","","4173","4183","10","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048629242&partnerID=40&md5=8b758252927cbe41b7abf6c8a1e3a241","World Islamic Sciences and Education University, Amman, Jordan","Alkhaffaf M., World Islamic Sciences and Education University, Amman, Jordan","This study aimed at identifying the impact of critical success factors of enterprise resource planning system (ERP) on organizational performance. The study used an empirical study to achieve its objectives; the study sample consisted of 170 employees who were randomly amounted of ERP users in the Islamic International Arab Bank. The empirical data were analyzed and results of the study showed a high significant effect of ERP critical success factors (support of senior management, the efficiency of the IT department, ERP vender's support) on organizational performance. The study recommend that organizations must prepare its work system before applying the ERP system, by getting a good support from the senior management, and preparing the human resources in order to guarantee a good application of ERP system, the management also must has a clear strategies for judging its corporate performance. © 2017 International Business Information Management Association IBIMA. All Rights Reserved.","Critical success factors; Enterprise resource planning; Organizational performance","International Business Information Management Association, IBIMA","","978-098604199-0","","Conference paper","Final","","Scopus","2-s2.0-85048629242"
"Chofreh A.G.; Goni F.A.; Klemeš J.J.","Chofreh, Abdoulmohammad Gholamzadeh (54418482700); Goni, Feybi Ariani (36706078200); Klemeš, Jiří Jaromír (56903012000)","54418482700; 36706078200; 56903012000","A roadmap for Sustainable Enterprise Resource Planning systems implementation (part III)","2018","Journal of Cleaner Production","174","","","1325","1337","12","35","10.1016/j.jclepro.2017.10.285","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038826417&doi=10.1016%2fj.jclepro.2017.10.285&partnerID=40&md5=0e22a270aee8266079082a07f8405e4a","Department of Industrial Engineering, Ahvaz Branch, Islamic Azad University, Ahvaz, Iran; Department of Business Administration, Ahvaz Branch, Islamic Azad University, Ahvaz, Iran; Sustainable Process Integration Laboratory – SPIL, NETME Centre, Faculty of Mechanical Engineering, Brno University of Technology - VUT Brno, Technická 2896/2, 616 69, Brno, Czech Republic","Chofreh A.G., Department of Industrial Engineering, Ahvaz Branch, Islamic Azad University, Ahvaz, Iran; Goni F.A., Department of Business Administration, Ahvaz Branch, Islamic Azad University, Ahvaz, Iran; Klemeš J.J., Sustainable Process Integration Laboratory – SPIL, NETME Centre, Faculty of Mechanical Engineering, Brno University of Technology - VUT Brno, Technická 2896/2, 616 69, Brno, Czech Republic","The organisation needs multidisciplinary skills, coordinated efforts, and adequate knowledge in order to implement successful Sustainable Enterprise Resource Planning (S-ERP) systems. Various studies have been conducted on S-ERP system, however, many of which only focused on the empirical analysis and imperative of the system without concerning on the effective implementation of the system. The absence of a validated plan and guide of S-ERP implementation would increase the cost and time of the system implementation and decrease the quality product and service. The recent research contributions have dealt with developing a master plan for the S-ERP system implementation that includes certain components, such as a roadmap, framework, and guidelines. A previous study has highlighted the development of the S-ERP roadmap. To advance the formulation of the S-ERP master plan, this presented study aims to evaluate the usability of the developed roadmap through peer review method. Data collection and analysis are the major actions to be performed in the evaluation. The peer review is performed by twelve experts including academics and practitioners. According to the peer review results, the S-ERP roadmap required to be divided into a sustainable enterprise and sustainable integrated enterprise. The experts verified that the S-ERP roadmap could be generally applied to various types of industry. It can provide a guide for practitioners to implement S-ERP system in organisations. In addition, it provides a theoretical basis for other related studies to comprehend the S-ERP system implementation. © 2017 Elsevier Ltd","Evaluation; Implementation; Master plan; Roadmap; Sustainable Enterprise Resource Planning","Elsevier Ltd","09596526","","JCROE","Article","Final","","Scopus","2-s2.0-85038826417"
"Chandiwana T.; Pather S.","Chandiwana, Takauya (57191838580); Pather, Shaun (23985532100)","57191838580; 23985532100","Assessing benefits of enterprise resource planning (ERP) systems in local government","2015","Proceedings of the European Conference on IS Management and Evaluation, ECIME","2015-January","","","45","53","8","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994175774&partnerID=40&md5=bdfaba4a5634cc5eeec573948a52c4c5","Information Technology Department, Cape Peninsula University of Technology, Cape Town, South Africa","Chandiwana T., Information Technology Department, Cape Peninsula University of Technology, Cape Town, South Africa; Pather S., Information Technology Department, Cape Peninsula University of Technology, Cape Town, South Africa","Over the past decade Enterprise Resource Planning systems (ERPs) are increasingly being adopted by governments in their quest to improve service delivery. However, there isn't sufficient evidence which demonstrates how local communities and citizens' benefit from such a costly investment, aside from the improvements in internal organisational processes. The study reported in this paper, used a Case Study design, to collect data from amongst management and Information and Communication Technology (ICT) specialists of a local municipality. The study used hermeneutical principles of qualitative data analysis to interpret the evidence. The findings show that even though it is documented that ERPs are benefits rich, these benefits are not automatically extended to all stakeholders within and beyond the organisation and that there is a need to pay particular attention from a system planning and management perspective to the appropriation of benefits. The study further recommends that managers who oversee the ERPs should augment the self-management capability of these systems to ensure that the benefits are extended to targeted stakeholders, including the citizenry in a consistent and sustainable manner. This can be done through an effective ERPs benefits management process, enabling ERPs self-management and public awareness campaigns.,.","Citizen-benefits; Enterprise resource planning; Information and communication technology; IT benefits; Local government","Academic Conferences and Publishing International Limited","20488912","978-191081054-5","","Conference paper","Final","","Scopus","2-s2.0-84994175774"
"Alsaid L.A.Z.A.","Alsaid, Loai Ali Zeenalabden Ali (57194435835)","57194435835","Smart city dynamics and multi-level management accounting: unfolding a case of sustainable enterprise resource planning","2021","Sustainability Accounting, Management and Policy Journal","13","1","","30","54","24","5","10.1108/SAMPJ-08-2020-0283","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106530378&doi=10.1108%2fSAMPJ-08-2020-0283&partnerID=40&md5=cb233a8ad0302fa310aea9cec2bc9669","School of Economics, Finance and Accounting, Research Centre for Financial and Corporate Integrity, Coventry University, Coventry, United Kingdom; Department of Accounting, Faculty of Commerce, Beni-Suef University, Beni-Suef, Egypt","Alsaid L.A.Z.A., School of Economics, Finance and Accounting, Research Centre for Financial and Corporate Integrity, Coventry University, Coventry, United Kingdom, Department of Accounting, Faculty of Commerce, Beni-Suef University, Beni-Suef, Egypt","Purpose: This study aims to explore the complex, multi-level institutional dynamics of smart city reforms and projects and their potential sustainability pressures on the implementation of a management accounting system in an Egyptian state-owned enterprise (SOE), which has a politically sensitive institutional character. Design/methodology/approach: This study adds to institutional management accounting research using a multi-level perspective of institutional dynamics in the smart city context. Data were collected from an interpretive case study of an Egyptian SOE that was under socio-political sustainability pressures to implement a smart electricity network project in New Minya city. Findings: Smart city projects have formed social and political sustainability pressures, which introduced the enterprise resource planning (ERP) network as a new management accounting system. A new (complex and multi-level) management accounting system was invented to reinvent the sustainable city as an “accounting city” (which appeared rhetorically as a “smart city”). “Smart” being the visibility and measurability of the sustainability performance of the collective body, which calls the city and its connectivity to different institutional levels brought out in a city network project for the ERP-enabled electricity distribution. Research limitations/implications: This study examines a single case study from a single smart city and identifies the accounting community’s need for multiple and comparative case studies to further analyse the potential impact of smart city reforms and projects on the sustainable implementation of management accounting systems. Practical implications: City policymakers and managers may benefit from the practical findings of this interpretive field-based case study in planning, implementing and monitoring smart city projects and objectives. Social implications: Individual and collective well-being may be enhanced through new management accounting forms of multi-level local governance and increased political, field and organisational sustainability. Originality/value: This study provides important insights into the sustainability dynamics of management accounting in achieving smart city reforms. The achievement of sustainability management accounting systems has connected to multiple ERP roles at different institutional levels, which resulted in accommodating the socio-political objectives of smart city projects. © 2021, Emerald Publishing Limited.","Egypt; Institutional sustainability pressures; Multi-level management accounting; Smart city dynamics; State-owned enterprises; Sustainable enterprise resource planning","Emerald Group Holdings Ltd.","20408021","","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85106530378"
"Chofreh A.G.; Goni F.A.; Malik M.N.; Khan H.H.; Klemeš J.J.","Chofreh, Abdoulmohammad Gholamzadeh (54418482700); Goni, Feybi Ariani (36706078200); Malik, Muhammad Noman (57195548214); Khan, Huma Hayat (56102487500); Klemeš, Jiří Jaromír (56903012000)","54418482700; 36706078200; 57195548214; 56102487500; 56903012000","Evaluation of the sustainable enterprise resource planning implementation steps","2019","Chemical Engineering Transactions","72","","","445","450","5","7","10.3303/CET1972075","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061428745&doi=10.3303%2fCET1972075&partnerID=40&md5=73fc703c399766e7e6d407473bb756fb","Sustainable Process Integration Laboratory – SPIL, NETME Centre, Faculty of Mechanical Engineering, Brno University of Technology - VUT Brno, Technická 2896/2, Brno, 616 69, Czech Republic; Faculty of Information Science and Technology, Universiti Kebangsaan Malaysia, Bangi, Malaysia; Faculty of Engineering, and Computer Science, National University of Modern Languages (NUML), Islamabad Campus, Pakistan","Chofreh A.G., Sustainable Process Integration Laboratory – SPIL, NETME Centre, Faculty of Mechanical Engineering, Brno University of Technology - VUT Brno, Technická 2896/2, Brno, 616 69, Czech Republic; Goni F.A., Faculty of Information Science and Technology, Universiti Kebangsaan Malaysia, Bangi, Malaysia; Malik M.N., Faculty of Engineering, and Computer Science, National University of Modern Languages (NUML), Islamabad Campus, Pakistan; Khan H.H., Faculty of Engineering, and Computer Science, National University of Modern Languages (NUML), Islamabad Campus, Pakistan; Klemeš J.J., Sustainable Process Integration Laboratory – SPIL, NETME Centre, Faculty of Mechanical Engineering, Brno University of Technology - VUT Brno, Technická 2896/2, Brno, 616 69, Czech Republic","Sustainable Enterprise Resource Planning (S-ERP) system is an integrated system enabling decision makers to integrate and manage business process within organisation in a sustainable manner. The S-ERP implementation is huge, which requires an integration of all business units in value chain. Practitioners need guidelines that show important steps to implement the S-ERP systems. A development of S-ERP guidelines has been highlighted in the previous work. However, the reliability of the steps needs to be evaluated by a number of experts. The aim of the present study is to evaluate the S-ERP guidelines using expert review methods. Twelve experts have been involved to contribute in this study through in-depth interviews. The results of the interview are recorded and transcripted for the analysis process. In this regard, a qualitative analysis technique consisting three main activities including data reduction, data display, and representing/validating conclusions is applied to get the final S-ERP guidelines. The validated S-ERP guidelines are important and beneficial for practitioners as its accuracy and reliability have been assessed by the experts. The S-ERP guidelines will assist them to effectively implement the S-ERP systems in their organisations. Copyright © 2019, AIDIC Servizi S.r.l.","","Italian Association of Chemical Engineering - AIDIC","22839216","","","Article","Final","","Scopus","2-s2.0-85061428745"
"Abu Ghazaleh M.; Abdallah S.; Khan M.","Abu Ghazaleh, Mohamad (57209811229); Abdallah, Salam (57192904835); Khan, Mehmood (55628459000)","57209811229; 57192904835; 55628459000","Critical internal organization’s forces influencing sustainability of post ERP in UAE service industry: A confirmatory factor analysis approach","2019","International Journal of Organizational Analysis","27","3","","759","785","26","8","10.1108/IJOA-03-2018-1375","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059150822&doi=10.1108%2fIJOA-03-2018-1375&partnerID=40&md5=83eaf3c1c75f88b69a5d37113220c5f7","College of Business Administration, Abu Dhabi University, Abu Dhabi, United Arab Emirates; Abu Dhabi University, Al Ain, United Arab Emirates; College of Business, Abu Dhabi University, Al Ain, United Arab Emirates","Abu Ghazaleh M., College of Business Administration, Abu Dhabi University, Abu Dhabi, United Arab Emirates; Abdallah S., Abu Dhabi University, Al Ain, United Arab Emirates; Khan M., College of Business, Abu Dhabi University, Al Ain, United Arab Emirates","Purpose: Despite the wide recognition of enterprise resource planning’s (ERP’s) multiple uses, little research has examined the internal forces that influence success after ERP implementation in the service industry. This study aims to identify the factors influencing post-implementation ERP capabilities (PERPC) and improving post-implementation sustainability and user satisfaction (PERPSUS). Exploratory factor analysis (EFA) and confirmatory factor analysis (CFA) are used for this, with advance managed outsourced solutions (AMOS) and an entanglement view of all firm ERP users. Design/methodology/approach: A theoretical model is created to explain internal organizational factors impacting post-implementation ERP sustainability and user satisfaction. Data were collected from 152 executive ERP users in two organizations in the UAE. Two CFA models were created. Findings: The results show that adoption by internal organizational forces leads to more sustainable post-implementation ERP. A 69 per cent variance in user satisfaction and post-implementation ERP sustainability was found through a PERPC model and its dimensions, which are significantly highly correlated. Research limitations/implications: ERP professionals and stakeholders believe that identification of ERP capabilities (ERPCs) and user satisfaction must be multi-dimensional. Practical implications: CIOs and ERP professionals could use these results to increase the success of ERP in the service industry, and they can support the inclusion of post-implementation ERP practices. Originality/value: Using AMOS, this paper explores the role of ERPCs in system sustainability and user satisfaction in the service sector, utilizing stakeholder perspectives and an entanglement view of ERP users in the service industry. © 2018, Emerald Publishing Limited.","Sustainable development; Technological change; Technology management","Emerald Group Holdings Ltd.","19348835","","","Article","Final","","Scopus","2-s2.0-85059150822"
"Terminanto A.; Swantoro H.A.; Hidayanto A.N.","Terminanto, A. (55932622400); Swantoro, H.A. (57200114199); Hidayanto, A.N. (57205093001)","55932622400; 57200114199; 57205093001","Configurations and implementation of payroll system using open source erp: A case study of Koperasi PT Sri","2017","IOP Conference Series: Materials Science and Engineering","277","1","012036","","","","2","10.1088/1757-899X/277/1/012036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039720256&doi=10.1088%2f1757-899X%2f277%2f1%2f012036&partnerID=40&md5=57842d99c9424cb85f8c196b0c186509","Faculty of Computer Science, Universitas Indonesia, Depok, Indonesia; Department of Industrial Engineering, Pancasila University, Jakarta, Indonesia","Terminanto A., Faculty of Computer Science, Universitas Indonesia, Depok, Indonesia; Swantoro H.A., Department of Industrial Engineering, Pancasila University, Jakarta, Indonesia; Hidayanto A.N., Faculty of Computer Science, Universitas Indonesia, Depok, Indonesia","Enterprise Resource Planning (ERP) is an integrated information system to manage business processes of companies of various business scales. Because of the high cost of ERP investment, ERP implementation is usually done in large-scale enterprises, Due to the complexity of implementation problems, the success rate of ERP implementation is still low. Open Source System ERP becomes an alternative choice of ERP application to SME companies in terms of cost and customization. This study aims to identify characteristics and configure the implementation of OSS ERP Payroll module in KKPS (Employee Cooperative PT SRI) using OSS ERP Odoo and using ASAP method. This study is classified into case study research and action research. Implementation of OSS ERP Payroll module is done because the HR section of KKPS has not been integrated with other parts. The results of this study are the characteristics and configuration of OSS ERP payroll module in KKPS. © Published under licence by IOP Publishing Ltd.","ASAP; ERP; Human Resource Management; ODOO Payroll; Open Source System","Institute of Physics Publishing","17578981","","","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85039720256"
"Shirazi B.","Shirazi, Babak (23026468100)","23026468100","Towards a sustainable interoperability in food industry small & medium networked enterprises: Distributed service-oriented enterprise resources planning","2018","Journal of Cleaner Production","181","","","109","122","13","19","10.1016/j.jclepro.2018.01.118","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042377953&doi=10.1016%2fj.jclepro.2018.01.118&partnerID=40&md5=9cc22e57d23100de249390090f79a7ef","Department of Industrial Engineering, Mazandaran University of Science and Technology, Babol, Iran","Shirazi B., Department of Industrial Engineering, Mazandaran University of Science and Technology, Babol, Iran","Distributed enterprise resources planning (ERP) can be customized to the specific requirements of each segment in networked structures for upgrading the small & medium enterprises' (SMEs) value chain. Because the implementation and control processes of distributed ERP systems are challenging in enterprises having limited resources, this study proposed a multi-criteria optimization method on ERP systems assessment in food industry networked enterprises. Networked enterprises can organize SMEs into the effective architecture which has more advantageous in the integration of total capacity through interoperability and collaboration. The proposed method is based on the control of food ERP optimization & orchestration in networked enterprises (FEo2NE). The architecture of FEo2NE controller encapsulates distributed modules of food ERP master plan into cloud resources through centralized service-oriented architecture (SOA) for warranting orchestration. Thus networked SMEs can interoperate services according to the optimized requirements using the modules' controller. The remarkable points of the method capabilities are the multi-criteria optimization of food ERP and SMEs collaboration in the value chain's distributed platform. The value chain's sustainability is demonstrated and the results guide food SMEs for implementing the business strategies with cleaner production considerations. © 2018 Elsevier Ltd","ERP; Food industry SMEs; Networked enterprises; Optimization & orchestration","Elsevier Ltd","09596526","","JCROE","Article","Final","","Scopus","2-s2.0-85042377953"
"Bataineh A.Q.; Abu-Alsondos I.; Salhab H.A.; Al-Abbas L.S.","Bataineh, Abdallah Q. (57035640400); Abu-Alsondos, Ibrahim (57218494511); Salhab, Hanadi A. (57219124028); Al-Abbas, Linda S. (57219725689)","57035640400; 57218494511; 57219124028; 57219725689","A structural equation model for analyzing the relationship between enterprise resource planning and digital supply chain management","2022","Uncertain Supply Chain Management","10","4","","1289","1296","7","11","10.5267/j.uscm.2022.7.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137362147&doi=10.5267%2fj.uscm.2022.7.011&partnerID=40&md5=317d32fc1dd7fff3742a471241b080fd","Middle East University, Amman, Jordan; American University in the Emirates, United Arab Emirates; Middle East University, Jordan","Bataineh A.Q., Middle East University, Amman, Jordan; Abu-Alsondos I., American University in the Emirates, United Arab Emirates; Salhab H.A., Middle East University, Jordan; Al-Abbas L.S., Middle East University, Jordan","Digitization and the internet are new phenomena which have greatly changed the way in which modern-day businesses are run. Enterprise resource planning (ERP) is one such system developed as a result of digitization in order to improve firm supply chain efficiency. This study investigated the relationship between digital and sustainable supply chain (in this case the ERP system) and firm competences of supply chain management. 33 respondents from e-commerce firms volunteered to take part in the data collection process of the study, with a majority of them being information technology (IT) managers. The hypothesized relationships were analyzed using structural equation modelling (SEM). Findings of the study depict that all the hypothesized relationships were significant (p<.001) at the 1 % level of significance, implying that there exists a positive effect of the ERP systems on firm performance. © 2022 Growing Science Ltd. All rights reserved.","Digitization; Enterprise resource planning (ERP); Supply Chain Management (SCM); Sustainability","Growing Science","22916822","","","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85137362147"
"Ahmad E.M.; Ismail R.F.; Mohamed M.","Ahmad, Emmarelda Maswesi (57190942972); Ismail, Rina Fadhilah (42861504800); Mohamed, Muzrifah (56375659900)","57190942972; 42861504800; 56375659900","Enterprise resource planning system training and its usage on management accounting activities","2016","Advanced Science Letters","22","12","","4124","4128","4","0","10.1166/asl.2016.8192","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012000478&doi=10.1166%2fasl.2016.8192&partnerID=40&md5=99c16fdc4c11d367380d1d33fabeebbb","Faculty of Accountancy, Universiti Teknologi MARA, UiTM, Bandar Puncak Alam, 42300, Selangor, Malaysia","Ahmad E.M., Faculty of Accountancy, Universiti Teknologi MARA, UiTM, Bandar Puncak Alam, 42300, Selangor, Malaysia; Ismail R.F., Faculty of Accountancy, Universiti Teknologi MARA, UiTM, Bandar Puncak Alam, 42300, Selangor, Malaysia; Mohamed M., Faculty of Accountancy, Universiti Teknologi MARA, UiTM, Bandar Puncak Alam, 42300, Selangor, Malaysia","There has been a high demand for the Enterprise Resource Planning (ERP) systems among small, medium to large sized companies in Malaysia as the business environment consistently changes. In order to remain sustainable and competitive in the industry, ERP system is required to integrate information from all departments and to support their business activities. The main objective of this study is to discover the relationship between ERP user training and ERP system usage in management accounting activities namely Capital Budgeting, Budgeting, Activity Based Costing, Operating Statement and Reporting and Forecasting. Data was collected by means of online questionnaire to evaluate how training on ERP has made an impact on the usage of ERP system in the five management accounting functions. In general, the results indicate that ERP user training and the usage of ERP has enhanced the quality of management accounting practices. © 2016 American Scientific Publishers All rights reserved.","Enterprise Resource Planning System; Management Accounting; User Training","American Scientific Publishers","19366612","","","Article","Final","","Scopus","2-s2.0-85012000478"
"De Soete W.","De Soete, Wouter (55901136200)","55901136200","Towards a multidisciplinary approach on creating value: Sustainability through the supply chain and ERP systems","2016","Systems","4","1","16","","","","16","10.3390/systems4010016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026895147&doi=10.3390%2fsystems4010016&partnerID=40&md5=27493e60fb44e1b2f66269b2481d44f4","Research Group Environmental Chemistry and Technology (ENVOC), Faculty of Bioscience Engineering, Ghent University, Coupure Links 653, Ghent, B-9000, Belgium; European Commission, Joint Research Centre, Institute for Environment and Sustainability (IES), Sustainability Assessment Unit (SA), Via E. Fermi 2749, Ispra, 21027, Italy","De Soete W., Research Group Environmental Chemistry and Technology (ENVOC), Faculty of Bioscience Engineering, Ghent University, Coupure Links 653, Ghent, B-9000, Belgium, European Commission, Joint Research Centre, Institute for Environment and Sustainability (IES), Sustainability Assessment Unit (SA), Via E. Fermi 2749, Ispra, 21027, Italy","Manufacturing Resource Planning (MRP) is a widely used approach through manufacturing environments in a variety of sectors. With a tendency to go to specialized, smaller lot sizes in several industries (e.g., the pharmaceutical sector), companies are dealing with capacity bottlenecks if the planning rhythm wheel is not well calibrated or when production lines are not flexible enough in terms of changeover (C/O) and set-up times (S/U) (OEE is too small). A well-established communication system including other enterprise resources or production factors (e.g., Enterprise Resource Planning, ERP) is favorable to any extent. More and more questions arise from stakeholder communities and end-users on whether or not supply chains and manufacturing environments are sustainable and safe. Departments such as Environmental Health, Safety & Sustainability (EHS & S) and Product Stewardship are too often at the “blind” side of the ICT interface. When it comes to product and organizational sustainability, data seems to be lacking in order to conduct sustainability assessments proficiently. Years of intensive research and experience proved that primary data to perform sustainability assessments often are measured through equipment control sensors (e.g., flow rates, temperatures, etc.) and sent to PLCs and many other systems. Nevertheless, these data measurements are in many cases simply not penetrating through the Manufacturing Execution Systems (MES) because these bottom-up engineering data seems to be of little value to planning, procurement, etc. This communication paper deals with how sustainability assessments can be embedded in business operational management systems. After all, who does not want a “live Carbon Footprint” for process improvements and external sustainability reporting instead of a series of expensive resource consuming studies of 4 to 6 months digging into data logs in traditional Life Cycle Assessment (LCA)? This communication paper has taken one step further in coupling business ERP systems with environmental sustainability of products, services and enterprises. © 2016 by the author; licensee MDPI, Basel, Switzerland.","Carbon footprint; Environmental sustainability; ERP; Lean six sigma; Life cycle assessment; MES; Operational management; Product Stewardship; Resource accounting; Value creation","MDPI AG","20798954","","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85026895147"
"Mandičák T.; Spišáková M.; Mésároš P.; Kozlovská M.","Mandičák, Tomáš (56488007000); Spišáková, Marcela (55970920000); Mésároš, Peter (56000515200); Kozlovská, Mária (55970222800)","56488007000; 55970920000; 56000515200; 55970222800","Design of Economic Sustainability Supported by Enterprise Resource Planning Systems in Architecture, Engineering, and Construction","2022","Buildings","12","12","2241","","","","6","10.3390/buildings12122241","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144901749&doi=10.3390%2fbuildings12122241&partnerID=40&md5=64219daf4af9e9527fd326e595785998","Institute of Technology, Economics and Management in Construction, Faculty of Civil Engineering, Technical University of Košice, Košice, 042 00, Slovakia","Mandičák T., Institute of Technology, Economics and Management in Construction, Faculty of Civil Engineering, Technical University of Košice, Košice, 042 00, Slovakia; Spišáková M., Institute of Technology, Economics and Management in Construction, Faculty of Civil Engineering, Technical University of Košice, Košice, 042 00, Slovakia; Mésároš P., Institute of Technology, Economics and Management in Construction, Faculty of Civil Engineering, Technical University of Košice, Košice, 042 00, Slovakia; Kozlovská M., Institute of Technology, Economics and Management in Construction, Faculty of Civil Engineering, Technical University of Košice, Košice, 042 00, Slovakia","The implementation of information systems is a current topic, especially in the digital age and the digital economy. Enterprise resource planning (ERP) systems (such as some information systems) are a tool that can be used for information systems to enable the sustainable design of the management processes in architecture, engineering and construction (AEC). The focus of design for economic sustainability is defining selected key performance indicators and targeting good values for these indicators in AEC. The subject of this research was the idea that implementing ERP systems in construction management could positively affect the financial results; i.e., provide economic sustainability. This research analyzed the ways that these systems can reduce the costs and increase the revenues of construction companies. The aim of the research was to analyze the impact of the implementation of ERP systems on selected key performance indicators (costs and revenues) in AEC. A questionnaire was used as a tool to collect research data. It was distributed to construction companies operating in Slovakia. The research sample consisted of 125 respondents, of which 55 could be used for the research questions. Data processing was undertaken, with Cronbach’s alpha used to verify the suitability of the research questions and Fisher’s test and Pearson’s correlation coefficient used to confirm the dependence. The research confirmed the impact of ERP systems on cost reduction and revenue growth in the context of designing the economic sustainability of businesses in AEC. © 2022 by the authors.","construction industry; costs; economic sustainability; ERP systems; project management; revenues","MDPI","20755309","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85144901749"
"Mulyani S.; Endraria; Putra D.M.; Sukmadilaga C.; Rozak Y.L.","Mulyani, Sri (57190950375); Endraria (57188809405); Putra, Donny Maha (57195753813); Sukmadilaga, Citra (57190947841); Rozak, Yuhanis Ladewi (57195757536)","57190950375; 57188809405; 57195753813; 57190947841; 57195757536","The empirical testing for the effect of organizational commitment and leadership style on the implementation success of Enterprise Resource Planning (ERP) systems and its implications on the quality of accounting information (survey on state-owned enterprises in Bandung, West Java, Indonesia)","2017","Proceedings of the 29th International Business Information Management Association Conference - Education Excellence and Innovation Management through Vision 2020: From Regional Development Sustainability to Global Economic Growth","","","","807","822","15","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029740497&partnerID=40&md5=2c117808b58d2c235c2c21358061b884","Department of Accounting, Faculty of Economics and Business, Universitas Padjadjaran, Bandung, Indonesia; Doctoral Program in Accounting, Department of Accounting, Faculty of Economics and Business, Universitas Padjadjaran, Bandung, Indonesia; Department of Accounting, Faculty of Economics, Universitas Muhammadiyah Tangerang, Indonesia; Awardee Lembaga Pengelola Dana Pendidikan/LPDP-RI, Indonesia","Mulyani S., Department of Accounting, Faculty of Economics and Business, Universitas Padjadjaran, Bandung, Indonesia; Endraria, Department of Accounting, Faculty of Economics and Business, Universitas Padjadjaran, Bandung, Indonesia, Doctoral Program in Accounting, Department of Accounting, Faculty of Economics and Business, Universitas Padjadjaran, Bandung, Indonesia, Department of Accounting, Faculty of Economics, Universitas Muhammadiyah Tangerang, Indonesia; Putra D.M., Department of Accounting, Faculty of Economics and Business, Universitas Padjadjaran, Bandung, Indonesia, Doctoral Program in Accounting, Department of Accounting, Faculty of Economics and Business, Universitas Padjadjaran, Bandung, Indonesia, Awardee Lembaga Pengelola Dana Pendidikan/LPDP-RI, Indonesia; Sukmadilaga C., Department of Accounting, Faculty of Economics and Business, Universitas Padjadjaran, Bandung, Indonesia; Rozak Y.L., Department of Accounting, Faculty of Economics and Business, Universitas Padjadjaran, Bandung, Indonesia, Doctoral Program in Accounting, Department of Accounting, Faculty of Economics and Business, Universitas Padjadjaran, Bandung, Indonesia","This study aims to examine the empirical testing for the effect of organizational commitment and leadership style on the implementation success of Enterprise Resource Planning (ERP), as well as the implications on the quality of accounting information. Survey was conducted on 33 state-owned enterprises to gather information and to test the hypothesis of a study. Data was analyzed with quantitative method using Structural Equation Modeling (SEM) with Partial Least Square (PLS) approach. Results of this study shown that organizational commitment and leadership style have significant effects on the implementation success of ERP systems and the implementation success of ERP systems have have significant effects on the quality of accounting information.","Leadership style; Organizational commitment; Quality of accounting information; Successful implementation of enterprise resource planning (ERP)","International Business Information Management Association, IBIMA","","978-098604197-6","","Conference paper","Final","","Scopus","2-s2.0-85029740497"
